section,group,row,label,year_start,year_end,continues_left,continues_right,uncertain,is_layout,color,note,link
Egypt,Egyptian,11,Ancient Egyptian King Lists,-3100,-3072,False,False,False,False,#EEECE1,"Ancient Egyptian King Lists Modern lists of pharaohs are based on historical records: Ancient Egyptian king lists and later histories, such as Manetho's Aegyptiaca, as well as archaeological evidence. Concerning ancient sources, Egyptologists and Historians alike call for caution about the credibility, exactitude and completeness of these sources, many of which were written long after the reigns they report. An additional problem is that ancient king lists are often damaged, inconsistent with one another and selective. The following ancient king lists are known (given here by dynasties): Den seal impressions (1st dynasty); found on a cylinder seal in Den's tomb. Palermo stone (5th dynasty); carved on an olivin-basalt slab. Giza King List (6th dynasty); painted with red, green and black ink on gypsum and cedar wood. South Saqqara Stone (6th dynasty); carved on a black basalt slab. Karnak King List (18th dynasty); carved on limestone. Abydos King List of Seti I (19th dynasty); carved on limestone. Abydos King List of Ramses II (19th dynasty); carved on limestone. Saqqara King List (19th dynasty), carved on limestone. Turin King List (19th dynasty); written with red and black ink on papyrus. Manetho's Aegyptiaca (Greek Period); possibly written on papyrus.",
Egypt,Egyptian,13,Ancient Egypt,-3396,-3376,False,False,False,True,#D6D4CB,,https://www.worldhistory.org/egypt/
Egypt,Egyptian,13,Ancient Egypt (c. 3100 - 332 BC),-3100,-322,False,False,False,False,#EEECE1,,https://www.worldhistory.org/Early_Dynastic_Period_In_Egypt/
Egypt,Egyptian,13,Classical Antiquity (323 BC - AD 641),-322,642,False,False,False,False,#EEECE1,,
Egypt,Egyptian,13,Middle Ages (AD 641 - AD 1517),642,1516,False,False,False,False,#EEECE1,,
Egypt,Egyptian,13,Early Modern Egypt (AD 1517 - AD 1914),1516,1882,False,False,False,False,#EEECE1,,
Egypt,Egyptian,13,Modern Egypt (AD 1882 - present),1882,2024,False,False,False,False,#EEECE1,,
Egypt,Period,15,Pre-Dynastic Period,-3412,-3100,True,False,False,False,#D6D4CB,,
Egypt,Period,15,Early Dynastic Period (3100–2686 BC),-3100,-2686,False,False,False,False,#B3B1A9,,https://www.worldhistory.org/Old_Kingdom_of_Egypt/
Egypt,Period,15,Old Kingdom (2686–2181 BC),-2686,-2182,False,False,False,False,#D6D4CB,"The First Intermediate Period (2181–2060 BC) The period between the end of the Old Kingdom and the advent of the Middle Kingdom. The Old Kingdom rapidly collapsed after the death of Pepi II. He had reigned for 94 years, longer than any monarch in history, and died aged 100. The latter years of his reign were marked by inefficiency because of his advanced age. The Union of the Two Kingdoms fell apart and regional leaders had to cope with the resulting famine. Around 2160 BC, a new line of pharaohs tried to reunite Lower Egypt from their capital in Herakleopolis Magna. In the meantime, a rival line based at Thebes was reuniting Upper Egypt and a clash between the two rival dynasties was inevitable. Around 2055 BC, Mentuhotep II, the son and successor of pharaoh Intef III defeated the Herakleopolitan pharaohs and reunited the Two Lands, thereby starting the Middle Kingdom.",https://www.worldhistory.org/First_Intermediate_Period_of_Egypt/
Egypt,Period,15,1st Intermediate Period (2181–2055 BC),-2182,-2054,False,False,False,False,,,https://www.worldhistory.org/Middle_Kingdom_of_Egypt/
Egypt,Period,15,Middle Kingdom (2055–1802 BC),-2054,-1802,False,False,False,False,#D6D4CB,"The Second Intermediate Period (1802–1550 BC) A period of disarray between the end of the Middle Kingdom, and the start of the New Kingdom. It is best known as when the Hyksos, whose reign comprised the Fifteenth, made their appearance in Egypt. The Thirteenth Dynasty was much weaker than the Twelfth Dynasty, and was unable to hold onto the two lands of Egypt. Either at the start of the dynasty, c. 1805 BC or toward the middle of it in c. 1710 BC, the provincial ruling family in Xois, located in the marshes of the eastern Delta, broke away from the central authority to form the Canaanite Fourteenth Dynasty. The Hyksos made their first appearance during the reign of Sobekhotep IV, and around 1720 BC took control of the town of Avaris (the modern Tell el-Dab'a/Khata'na), conquering the kingdom of the 14th dynasty. Then, some time around 1650 BC the Hyksos, perhaps led by Salitis the founder of the Fifteenth Dynasty, conquered Memphis, thereby terminating the 13th dynasty. The power vacuum in Upper Egypt resulting from the collapse of the 13th dynasty allowed the 16th dynasty to declare its independence in Thebes, only to be overrun by the Hyksos kings shortly thereafter. Subsequently, as the Hyksos withdrew from Upper Egypt, the native Egyptian ruling house in Thebes set itself up as the Seventeenth Dynasty. This dynasty eventually drove the Hyksos back into Asia under Seqenenre Tao, Kamose and finally Ahmose, first pharaoh of the New Kingdom.",https://www.worldhistory.org/Second_Intermediate_Period_of_Egypt/
Egypt,Period,15,2nd Intermediate Period (1802–1550 BC),-1802,-1650,False,False,False,False,,The Second Intermediate Period may include an independent dynasty reigning over Abydos from c. 1650 BC until 1600 BC. Four attested kings may be tentatively attributed to the Abydos Dynasty.,
Egypt,Period,15,Abydos Dynasty (4 Pharaohs),-1650,-1600,False,False,False,False,#D9D9D9,,
Egypt,Period,15,New Kingdom (1550–1077 BC),-1550,-1078,False,False,False,False,#D6D4CB,"The Third Intermediate Period (1077–732 BC) Marked the end of the New Kingdom after the collapse of the Egyptian empire. A number of dynasties of Libyan origin ruled, giving this period its alternative name of the Libyan Period.",https://www.worldhistory.org/New_Kingdom_of_Egypt/
Egypt,Period,15,3rd Intermediate Period (1077–664 BC),-1078,-732,False,False,False,False,,,https://www.worldhistory.org/Late_Period_of_Ancient_Egypt/
Egypt,Period,15,Late Period (732–30 BC),-732,-30,False,False,False,False,#D6D4CB,,https://www.worldhistory.org/Roman_Egypt/
Egypt,Period,15,Roman and Byzantine Egypt (30 BC–641 AD),-30,330,False,False,False,False,#D99694,,
Egypt,Period,15,Arab Egypt (AD 641–969),642,968,False,False,False,False,#B3B1A9,,
Egypt,Period,15,Fatimid Egypt (AD 969–1171),968,1172,False,False,False,False,#D6D4CB,,
Egypt,Period,15,Ayyubid Egypt (AD 1171–1250),1172,1250,False,False,False,False,#B3B1A9,,
Egypt,Period,15,Mamluk Egypt (AD 1250–1517),1250,1516,False,False,False,False,#D6D4CB,,
Egypt,Period,15,Ottoman Egypt (AD 1517–1867),1516,1866,False,False,False,False,#B3B1A9,,
Egypt,Period,15,Khedivate of Egypt,1866,1914,False,False,False,False,#D6D4CB,,
Egypt,Period,15,Sultanate of Egypt,1914,1922,False,False,False,False,#B3B1A9,,
Egypt,Period,15,Republic of Egypt (AD 1953 - present),1952,2024,False,False,False,False,#B3B1A9,,
Egypt,Egypt,17,Egyptian,-3396,-3376,False,False,False,True,#F7EAE9,,
Egypt,Egypt,17,Language,-3376,-3356,False,False,False,True,#F7EAE9,,
Egypt,Egypt,17,Period,-3356,-3326,False,False,False,True,#F7EAE9,,
Egypt,Egypt,17,Era,-3326,-3284,False,False,False,True,#F7EAE9,,
Egypt,Egypt,17,Script,-3284,-3256,False,False,False,True,#F7EAE9,,
Egypt,Egypt,17,Upper Egypt,-3250,-3200,False,False,False,False,,,
Egypt,Egypt,17,Dynasty 00 (3 rulers),-3200,-3150,False,False,True,False,,,
Egypt,Egypt,17,Dynasty 0 (4 rulers),-3150,-3100,False,False,False,False,#EEECE1,,
Egypt,Egypt,17,1st Dynasty (10 Pharaohs),-3100,-2900,False,False,False,False,#C3D69B,,
Egypt,Egypt,17,2nd Dynasty (11 Pharoahs),-2900,-2686,False,False,False,False,#9BBB59,,https://www.worldhistory.org/Third_Dynasty_of_Egypt/
Egypt,Egypt,17,3rd Dynasty (5 Pharaohs),-2686,-2614,False,False,False,False,#C3D69B,,
Egypt,Egypt,17,4th Dynasty (8 Pharaohs),-2614,-2498,False,False,False,False,#9BBB59,,
Egypt,Egypt,17,5th Dynasty (9 Pharaohs),-2498,-2346,False,False,False,False,#C3D69B,,
Egypt,Egypt,17,6th Dynasty (8 Pharaohs),-2346,-2182,False,False,False,False,#9BBB59,,
Egypt,Egypt,17,7th and 8th Dynasties,-2182,-2160,False,False,False,False,#C3D69B,,
Egypt,Egypt,17,9th Dynasty,-2160,-2130,False,False,False,False,#EBF1DE,,
Egypt,Egypt,17,10th Dynasty (18 Pharaohs inc. the 9th Dynasty),-2130,-2040,False,False,False,False,#C3D69B,,
Egypt,Egypt,17,12th Dynasty (9 Pharaohs),-1992,-1802,False,False,False,False,#C3D69B,,
Egypt,Egypt,17,13th Dynasty (60 Pharaohs),-1802,-1648,False,False,False,False,#9BBB59,XVI dynasty was Hyksos Capital unknown (perhaps in the Kingdom of Kush),
Egypt,Egypt,17,Apex of the Hyksos' power,-1594,-1592,False,False,False,False,#D6D4CB,,
Egypt,Egypt,17,18th Dynasty (14 Pharaohs),-1550,-1292,False,False,False,False,#9BBB59,,
Egypt,Egypt,17,19th Dynasty (8 Pharaohs),-1292,-1186,False,False,False,False,#C3D69B,,
Egypt,Egypt,17,21st Dynasty (7 Pharaohs + 9 High Priests of Amun),-1068,-944,False,False,False,False,#C3D69B,,
Egypt,Egypt,17,22nd Dynasty (11 Pharaohs),-944,-728,False,False,False,False,#9BBB59,,
Egypt,Egypt,17,26th Dynasty (7 Pharaohs),-672,-524,False,False,False,False,#C3D69B,,
Egypt,Egypt,17,27th Dynasty (11 Pharaohs) - (First Persion 'Achaemenid' period),-524,-404,False,False,False,False,#B3B1A9,,
Egypt,Egypt,17,28th Dynasty (1 Pharaoh),-404,-398,False,False,False,False,#C3D69B,,
Egypt,Egypt,17,30th Dynasty (3 Pharaohs),-380,-342,False,False,False,False,#C3D69B,31st Dynasty Second Persian period,
Egypt,Egypt,17,31st Dynasty (4 Pharaohs),-342,-332,False,False,False,False,#B3B1A9,,
Egypt,Egypt,17,Ptolemaic Dynasty,-304,-30,False,False,False,False,#CCC1DA,,
Egypt,Egypt,17,Sasanian Egypt,618,628,False,False,False,False,#B3B1A9,,
Egypt,Egypt,17,French occupation,1798,1802,False,False,False,False,#D6D4CB,,
Egypt,Egypt,17,British occupation,1882,1922,False,False,False,False,#B3B1A9,,
Egypt,Egypt,17,Egyptian Revolution,1952,1954,False,False,False,False,#D6D4CB,1952 - The Egyptian Revolution occurs. Led by Muhammad Najib and Gamal Abdel Nasser the monarchy is overthrown and the Republic of Egypt is established.,
Egypt,Egypt,19,Language,-3396,-3376,False,False,False,True,#F7EAE9,,
Egypt,Egypt,19,Archaic Egyptian,-3376,-3356,False,False,False,True,,,
Egypt,Egypt,19,before 2600 BC,-3356,-3326,False,False,False,True,,,
Egypt,Egypt,19,Early Dynastic Period,-3326,-3284,False,False,False,True,,,
Egypt,Egypt,19,Early Hieroglyphs,-3284,-3256,False,False,False,True,,,
Egypt,Egypt,19,Lower Egypt,-3250,-3200,False,False,False,False,,Lower Egypt geographically consisted of the northern Nile and the Nile delta.,
Egypt,Egypt,19,8 rulers - Only known from the Palermo stone,-3192,-3140,False,False,False,False,,,
Egypt,Egypt,19,Narmer,-3100,-3050,False,False,False,False,#B3B1A9,Narner (c. 3100 - c. 3050 BC) Believed to be the same person as Menes and to have unified Upper and Lower Egypt.,https://www.worldhistory.org/Narmer/
Egypt,Egypt,19,Djoser,-2686,-2648,False,False,False,False,#B3B1A9,"Djoser Commonly thought to have commissioned the first Pyramid in Egypt, created by chief architect and scribe Imhotep.",https://www.worldhistory.org/Djoser/
Egypt,Egypt,19,Sneferu,-2614,-2588,False,False,False,False,#B3B1A9,,
Egypt,Egypt,19,Djedefre,-2566,-2558,False,False,False,False,#B3B1A9,,
Egypt,Egypt,19,Menkaure,-2532,-2504,False,False,False,False,#B3B1A9,,
Egypt,Egypt,19,Thamphthis,-2500,-2450,False,False,False,False,,,
Egypt,Egypt,19,Unas,-2374,-2346,False,False,False,False,#B3B1A9,,
Egypt,Egypt,19,Neferkare Pepi II,-2278,-2184,False,False,False,False,#B3B1A9,Neferkare Pepi II 2278–2184 BC Possibly the longest reigning monarch of human history with 94 years on the throne.,
Egypt,Egypt,19,(16 Pharaohs),-2184,-2150,False,False,False,False,,,
Egypt,Egypt,19,11th Dynasty (8 - possibly 11 - Pharaohs),-2134,-1992,False,False,False,False,#9BBB59,The second part of the Eleventh Dynasty is considered to be part of the Middle Kingdom of Egypt.,
Egypt,Egypt,19,14th Dynasty (29 Pharaohs),-1804,-1650,False,False,False,False,#C3D69B,The Sixteenth Dynasty was a native Theban dynasty emerging from the collapse of the Memphis-based 13th dynasty c. 1650 BC and finally conquered by the Hyksos 15th dynasty c. 1580 BC. The 16th dynasty held sway over Upper-Egypt only.,
Egypt,Egypt,19,16th Dynasty (15 Pharaohs),-1650,-1580,False,False,False,False,#9BBB59,,
Egypt,Egypt,19,Ahmose I,-1550,-1524,False,False,False,False,#B3B1A9,"Nebpehtire Ahmose I, Ahmosis I c. 1550–1525 BC | Aakheperkare Thutmose I 1520–1492 BC",
Egypt,Egypt,19,Thutmose I,-1520,-1492,False,False,False,False,#B3B1A9,,
Egypt,Egypt,19,Hatshepsut,-1478,-1458,False,False,False,False,#B3B1A9,Maatkare Hatshepsut 1479–1458 BC The second known female ruler of Egypt. May have ruled jointly with her nephew Thutmose III during the early part of her reign. Famous for her expedition to Punt documented on her famous Mortuary Temple at Deir el-Bahari. Built many temples and monuments. Ruled during the height of Egypt's Power. Was the daughter of Thutmose I and the Great Wife of her brotherThutmose II.,https://www.worldhistory.org/hatshepsut/
Egypt,Egypt,19,Amenhotep II,-1424,-1400,False,False,False,False,#B3B1A9,Aakheperrure Amenhotep II 1425–1400 BC,
Egypt,Egypt,19,Amenhotep III The Magnificent King,-1390,-1352,False,False,False,False,#B3B1A9,"Nebmaatre Amenhotep III The Magnificent King 1390–1352 Father of Akhenaten and grandfather of Tutankhamun. Ruled Egypt at the height of its power. Built many temples and monuments, including his enormous Mortuary Temple. Was the son of Thutmose IV.",
Egypt,Egypt,19,Smenkhkare,-1334,-1332,False,False,False,False,#B3B1A9,Ankhkheperure Smenkhkare 1334–1333 BC,
Egypt,Egypt,19,Horemheb,-1320,-1292,False,False,False,False,#B3B1A9,Djeserkheperure-setpenre Horemheb 1320–1292 BC,
Egypt,Egypt,19,Ramesses II the Great,-1278,-1214,False,False,False,False,#B3B1A9,Usermaatre-setpenre Ramesses II the Great 1279–1213,https://www.worldhistory.org/Ramesses_II/
Egypt,Egypt,19,20th Dynasty (10 Pharaohs),-1190,-1078,False,False,False,False,#9BBB59,,
Egypt,Egypt,19,23rd Dynasty (8 Pharaohs),-838,-736,False,False,False,False,#C3D69B,,
Egypt,Egypt,19,24th Dynasty (2 Pharaohs),-732,-720,False,False,False,False,#9BBB59,,
Egypt,Egypt,19,29th Dynasty (4 Pharaohs),-398,-380,False,False,False,False,#9BBB59,,
Egypt,Egypt,19,Nectanebo II,-360,-342,False,False,False,False,#B3B1A9,Senedjemibre Nakhthorhebyt (Nectanebo II) 360–343 BC,
Egypt,Egypt,19,Argead Dynasty (3 Pharaohs),-332,-308,False,False,False,False,#E6E0EC,,
Egypt,Egypt,19,Cleopatra VII commits suicide. She is the last pharaoh of Egypt as it comes under the rule of the Roman Empire,-30,-28,False,False,False,False,#D6D4CB,,https://www.worldhistory.org/Cleopatra_VII/
Egypt,Egypt,19,Egypt under Muhammad Ali,1804,1882,False,False,False,False,#B3B1A9,,
Egypt,Egypt,19,Kingdom of Egypt,1922,1954,False,False,False,False,#D6D4CB,The United Arab Republic (UAR) was a sovereign state in the Middle East from 1958 until 1961. It was initially a political union between Egypt (including the occupied Gaza Strip) and Syria from 1958 until Syria seceded from the union following the 1961 Syrian coup d'état. Egypt continued to be known officially as the United Arab Republic until September 1971 when it was formally dissolved by Anwar Sadat.,
Egypt,Egypt,19,United Arab Republic,1958,1972,False,False,False,False,#B3B1A9,,
Egypt,Egypt,21,Old Egyptian,-3376,-3374,False,False,False,True,,,
Egypt,Egypt,21,2686 BC – 2181 BC,-3356,-3354,False,False,False,True,,,
Egypt,Egypt,21,Old Kingdom,-3326,-3324,False,False,False,True,,,
Egypt,Egypt,21,Hieroglyphs and Hieratic,-3284,-3282,False,False,False,True,,,
Egypt,Egypt,21,Papyrus is developed as a writing surface,-2700,-2698,False,False,False,False,#D6D4CB,,
Egypt,Egypt,21,Meidum Pyramid,-2610,-2608,False,False,False,False,#D6D4CB,,
Egypt,Egypt,21,Khufu,-2588,-2566,False,False,False,False,#B3B1A9,,
Egypt,Egypt,21,Khafre,-2558,-2532,False,False,False,False,#B3B1A9,,
Egypt,Egypt,21,Shepseskaf,-2504,-2498,False,False,False,False,#B3B1A9,,
Egypt,Egypt,21,Qakare Ibi,-2168,-2166,False,False,False,False,#B3B1A9,,
Egypt,Egypt,21,Ameny Qemau (13th Dynasty),-1794,-1792,False,False,False,False,#B3B1A9,,
Egypt,Egypt,21,Khendjer,-1764,-1760,False,False,False,False,#B3B1A9,,
Egypt,Egypt,21,14th Dynasty (alt start),-1710,-1650,False,False,False,False,,,
Egypt,Egypt,21,17th Dynasty (9 Pharaohs),-1650,-1550,False,False,False,False,#D7E4BD,,
Egypt,Egypt,21,Amenhotep I,-1542,-1520,False,False,False,False,#B3B1A9,Djeserkare Amenhotep I 1541–1520 BC,
Egypt,Egypt,21,Thutmose II,-1492,-1478,False,False,False,False,#B3B1A9,Aakheperenre Thutmose II 1492–1479 BC,
Egypt,Egypt,21,Thutmose III,-1458,-1424,False,False,False,False,#B3B1A9,"Menkheperre Thutmose III (1458–1425 BC) Son of Thutmose II. May have ruled jointly with Hatshepsut, his aunt and step-mother, during the early part of her reign. Famous for his territorial expansion into Levant and Nubia. Under his reign, the Ancient Egyptian Empire was at its greatest extent. Ruled during the height of Egypt's Power. Late in his reign, he obliterated Hatshepsut's name and image from temples and monuments.",https://www.worldhistory.org/Thutmose_III/
Egypt,Egypt,21,Thutmose IV,-1400,-1390,False,False,False,False,#B3B1A9,Menkheperure Thutmose IV 1400–1390 BC,
Egypt,Egypt,21,Akhenaten,-1352,-1334,False,False,False,False,#B3B1A9,"Neferkheperure-waenre Amenhotep IV/Akhenaten 1352 – 1334 BC Founder of the Amarna Period in which he changed the state religion from the polytheistic Ancient Egyptian religion to the Monotheistic Atenism, centered around the worship of the Aten, an image of the sun disc. He moved the capital to Akhetaten. Was the second son of Amenhotep III. He changed his name from Amenhotep (Amun is pleased) to Akhenaten (Effective for the Aten) to reflect his religion change. | Nebkheperure Tutankhaten/Tutankhamun",https://www.worldhistory.org/Tutankhamun/
Egypt,Egypt,21,Tutankhamun,-1332,-1324,False,False,False,False,#B3B1A9,,
Egypt,Egypt,21,25th Dynasty (5 Pharaohs),-752,-656,False,False,False,False,#9BBB59,Nubians invaded Lower Egypt and took the throne of Egypt under Piye although they already controlled Thebes and Upper Egypt in the early years of Piye's reign. Piye's conquest of Lower Egypt established the Twenty-fifth Dynasty which ruled until 656 BC.,
Egypt,Egypt,21,The Persian Empire conquers and rules Egypt,-524,-522,False,False,False,False,#D6D4CB,,
Egypt,Egypt,21,Alexander the Great,-332,-322,False,False,False,False,#B3B1A9,,
Egypt,Egypt,21,The Arabs conquer Egypt and convert the land to Islam,642,644,False,False,False,False,#D6D4CB,,
Egypt,Egypt,21,Construction on the Suez Canal is completed,1868,1870,False,False,False,False,#D6D4CB,,
Egypt,Egypt,21,The UK recognizes Egypt as an independent country. Fuad I becomes King of Egypt.,1922,1924,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,23,Heiroglyphs,-3396,-3376,False,False,False,True,#F7EAE9,"The native name for Egyptian hieroglyphic writing is zẖȝ n mdw-nṯr or ""writing of the words of god"".",https://www.worldhistory.org/Egyptian_Hieroglyphs/
Egypt,Pharaoh,23,Middle Egyptian,-3376,-3374,False,False,False,True,,,
Egypt,Pharaoh,23,2055 BC – 1650 BC,-3356,-3354,False,False,False,True,,,
Egypt,Pharaoh,23,Middle Kingdom,-3326,-3324,False,False,False,True,,,
Egypt,Pharaoh,23,Hieroglyphs and Hieratic,-3284,-3282,False,False,False,True,,,
Egypt,Pharaoh,23,Narmer unifies Upper and Lower Egypt,-3100,-3098,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,23,First Egyptian pyramid constructed (conjectured date),-2668,-2666,False,False,False,False,#D6D4CB,,https://www.worldhistory.org/article/862/the-step-pyramid-of-djoser-at-saqqara/
Egypt,Pharaoh,23,Bent Pyramid,-2608,-2606,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,23,Baka/Bauefrê,-2532,-2526,False,False,False,False,,,
Egypt,Pharaoh,23,Earliest parts of Temple of Karnak built,-1854,-1852,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,23,Egyptians control Nubia,-1814,-1812,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,23,15th Dynasty (6 Pharaohs),-1674,-1536,False,False,False,False,#C3D69B,,
Egypt,Pharaoh,23,Battle of Meggido,-1456,-1454,False,False,False,False,#D6D4CB,Battle of Meggido Pharaoh Thutmose III defeats Canaanite princes and founds Egyptian Empire in the Levant.,
Egypt,Pharaoh,23,Nefertiti,-1370,-1330,False,False,False,False,#CCC1DA,,https://www.worldhistory.org/Nefertiti/
Egypt,Pharaoh,23,Ay,-1324,-1320,False,False,False,False,#B3B1A9,Kheperkheperure Ay 1324–1320 BC,
Egypt,Pharaoh,23,Battle of Kadesh,-1274,-1272,False,False,False,False,#D6D4CB,1274 BC: Battle of Kadesh between Pharaoh Ramses II (1279–1212 BC) and Hittite King Muwatalliš I (1295–1272 BC),https://www.worldhistory.org/article/78/the-battle-of-kadesh--the-first-peace-treaty/
Egypt,Pharaoh,23,The Libu,-804,-732,False,False,False,False,,"The Libu Not recognised as a dynasty as such, the Libu were yet another group of western nomads (Libyans) who occupied the western Delta from 805 to 732 BC.",
Egypt,Pharaoh,23,Last native ruler of Ancient Egypt,-360,-358,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,23,Rosetta Stone is inscribed,-196,-194,False,False,False,False,#D6D4CB,,https://www.worldhistory.org/Rosetta_Stone/
Egypt,Pharaoh,23,The last known example of Egyptian hieroglyphics,394,396,False,False,False,False,#C3D69B,"The Graffito of Esmet-Akhom (or Philae 436) is the latest known inscription written in Egyptian hieroglyphs. It is inscribed in the temple of Philae in southern Egypt, and was written in 394 AD. It is dated to the Birthday of Osiris, year 110 (of Diocletian), which is August 24, 394 AD.",
Egypt,Pharaoh,25,"(zẖȝ n mdw-nṯr) ""writing of the words of god""",-3396,-3376,False,False,False,True,#F7EAE9,,
Egypt,Pharaoh,25,Late Egyptian,-3376,-3374,False,False,False,True,,,
Egypt,Pharaoh,25,1069 BC – 700 BC,-3356,-3354,False,False,False,True,,,
Egypt,Pharaoh,25,Third Intermediate Period,-3326,-3324,False,False,False,True,,,
Egypt,Pharaoh,25,Hieroglyphs and Hieratic,-3284,-3282,False,False,False,True,,,
Egypt,Pharaoh,25,Hieroglyphic script developed (c. 3100),-3100,-3098,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,25,Red Pyramid,-2604,-2602,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,25,Construction of pyramids,-2578,-2572,False,False,False,False,,,
Egypt,Pharaoh,25,on the Giza Plateau,-2550,-2542,False,False,False,False,,,
Egypt,Pharaoh,25,The Pyramid of Unas is inscribed with the earliest instance of the pyramid texts,-2356,-2354,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,25,Pyramid at Saqqara inscribed with the last known instance of the Pyramid Texts,-2162,-2160,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,25,Pyramid at Dashur,-1788,-1786,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,25,Pyramid at Saqqara,-1758,-1756,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,25,"The Hyksos form their own dynasty, the 15th Dynasty",-1674,-1672,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,25,Khyan (Hyksos pharaoh),-1614,-1582,False,False,False,False,#B3B1A9,"Apex of the Hyksos' power, conquered Thebes toward the end of his reign.",
Egypt,Pharaoh,25,Ahmose I conquers north of Egypt from the Hyksos,-1546,-1544,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,25,Dream Stele constructed by Thutmose IV,-1396,-1394,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,25,Amarna Period,-1352,-1320,False,False,False,False,#D6D4CB,,https://www.worldhistory.org/Amarna/
Egypt,Pharaoh,25,Egyptian–Hittite peace treaty signed,-1258,-1256,False,False,False,False,#D6D4CB,,
Egypt,Pharaoh,25,Sais: (725 BC - 715 BC) - XXIV dynasty,-722,-714,False,False,False,False,#DCE6F2,,
Egypt,Pharaoh,25,Assyrians attack Egypt,-672,-670,False,False,False,False,#D6D4CB,"King Esarhaddon of Assyria defeats the Kushite-Egyptian army of Pharaoh Taharqa and captures Memphis, along with a number of the royal family. He sets up a new Assyrian administration in Lower Egypt and withdraws.",
Egypt,Pharaoh,25,Sais: (404 BC - 399 BC) - XXVIII dynasty,-402,-398,False,False,False,False,#DCE6F2,,
Egypt,Pharaoh,25,Alexander the Great conquers Egypt and establishes the city of Alexandria,-332,-330,False,False,False,False,#D6D4CB,,https://www.worldhistory.org/alexandria/
Egypt,Pharaoh,25,Napoleon Bonaparte invades Egypt,1798,1800,False,False,False,False,#D6D4CB,"The French Empire, led by Napoleon Bonaparte, invade Egypt. However, Napoleon is soon defeated and the Ottoman Empire once again takes control.",
Egypt,Pharaoh,25,Battle of Tel el-Kebir,1882,1884,False,False,False,False,#D6D4CB,1882 - The British defeat Egypt at the Battle of Tel el-Kebir. The United Kingdom takes control of Egypt.,
Egypt,Pharaoh,28,Demotic,-3376,-3374,False,False,False,True,,,
Egypt,Pharaoh,28,c. 650 BC – 5th cent. AD,-3356,-3354,False,False,False,True,,,
Egypt,Pharaoh,28,Late Period through Roman times,-3326,-3324,False,False,False,True,,,
Egypt,Pharaoh,28,Script derived from Hieratic,-3284,-3282,False,False,False,True,,,
Egypt,Pharaoh,28,Thinis (Actual Location Unknown) (the first capital of Upper and Lower Egypt),-3098,-2950,False,False,False,False,#DCE6F2,,
